d.cod_familiar_fam,membros_domicilios,bairro,rpa,TP-04,TP-05,TP-06,TP-07,TC-09,TC-10,TC-12,vlr_TP_04,vlr_TP_05,vlr_TP_06,vlr_TP_07,vlr_TC_09,vlr_TC_10,vlr_TC_12,vlr_final_domicilio
6570274481,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6634273987,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6651818090,1,ENCRUZILHADA,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6677922367,1,COELHOS,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6772218000,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6776337420,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6778278579,1,SITIO DOS PINTOS,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6793896873,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6825476548,1,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6837922378,1,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6915427163,1,DERBY,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6954633305,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7055559685,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7059038507,1,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7181963171,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7209268669,2,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7227686213,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7249015311,1,PRADO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7340171037,1,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7412940600,1,ESPINHEIRO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7518577852,1,AGUA FRIA,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7558435927,1,CASA AMARELA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7771883095,1,CASA AMARELA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6955278193,1,DOIS IRMAOS,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5895585876,2,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6556142573,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3459465107,2,JORDAO,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6302552613,2,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6547749355,2,IBURA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6347709260,1,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1611491622,1,ALTO DO MANDU,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7654312032,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7509380804,1,TORRE,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7685230445,1,TORRE,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4470943193,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1338324497,2,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6483390505,1,VASCO DA GAMA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7200910201,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5535309419,1,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5264676810,4,COHAB,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4616210535,1,IBURA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4874388680,2,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7094110146,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6028028495,1,PINA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6490273101,1,TORRE,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
